,alff,anatomical_brain,anatomical_reorient,anatomical_to_mni_nonlinear_xfm,ants_affine_xfm,dr,falff,functional_brain_mask,functional_brain_mask_to_standard,functional_freq_filtered,functional_mni,functional_nuisance_residuals,functional_to_anat_linear_xfm,mean_functional,mni_normalized_anatomical,preprocessed,reho
0050642,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050646,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050647,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050649,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050653,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050654,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050656,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050659,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050660,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050663,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050664,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050665,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050666,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050668,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050643,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050644,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050645,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050648,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050650,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050651,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050652,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050655,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050657,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050658,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050661,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050669,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050667,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051456,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051457,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051458,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051459,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051460,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051461,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051462,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051463,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051464,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051465,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051466,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051467,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051468,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051469,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051470,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051471,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051472,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051473,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051474,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051475,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051476,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051477,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051478,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051479,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051480,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051481,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051482,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051483,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051484,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051485,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051486,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051487,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051488,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051489,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051490,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051491,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051492,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0051493,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050772,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050773,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050774,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050775,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050776,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050777,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050778,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050779,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050780,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050781,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050782,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050783,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050784,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050785,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050786,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050787,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050788,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050789,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050790,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050791,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050792,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050793,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050794,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050795,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050796,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050797,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050798,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050799,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050800,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050801,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050802,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050803,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050804,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050805,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050806,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050807,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050808,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050809,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050810,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050811,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050812,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050813,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050814,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050815,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050816,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050817,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050818,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050819,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050820,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050821,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050822,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050823,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050824,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050825,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050826,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050682,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050683,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050685,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050686,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050687,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050688,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050689,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050690,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050691,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050692,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050693,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050694,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050695,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050696,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050697,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050698,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050699,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050700,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050701,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050702,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050703,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050704,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050705,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050706,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050707,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050708,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050709,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050710,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050711,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050722,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050723,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050724,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050725,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050726,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050727,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050728,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050730,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050731,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050732,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050733,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050734,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050735,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050736,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050737,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050738,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050739,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050740,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050741,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050742,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050743,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050744,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050745,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050746,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050747,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050748,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050749,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050750,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050751,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050752,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050753,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050754,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050755,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050756,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
0050757,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
